trajectory_id,style,data_label,attack_type,crashed,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
aggressive_007,aggressive,clean,,False,28.166918385507017,5,0.9306217546817408,10.619343074955054,1.7211966198169266,140.55466866713817,140.55466866713817,0.9308256203121732,0.9308256203121732,0,0.0,3.6874184997061645,True,mean_reward,3.011665217124309,False,mean_reward
cautious_006,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,77.50322591572638,38.6306528776744,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0,0.0,3.5540931005678047,True,min_front_gap,2.0735757977120217,False,min_front_gap
aggressive_013,aggressive,clean,,False,25.574807777191605,7,1.1954069799166267,14.291424485890218,2.133056526986484,129.08949449250125,129.08949449250125,0.8548973145198758,0.8548973145198758,0,0.0,3.462426934832189,True,lane_changes,2.120989499517025,False,lane_changes
cautious_009,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,69.63073227175357,47.33563493106359,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,3.3919852879366865,False,min_front_gap,1.7337376053745936,False,mean_speed
aggressive_015,aggressive,clean,,False,27.709654021043008,5,1.1211864775741276,16.426824946558327,2.027071929478128,136.9141385878096,136.9141385878096,0.906716149588143,0.906716149588143,0,0.0,3.3870522150411424,False,mean_speed,2.24270117296483,False,mean_speed
cautious_019,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,86.62518673159138,28.90608855730201,111.04792626728111,111.04792626728111,0.7354167302468949,0.7354167302468949,0,0.0,3.2700576696250665,True,min_front_gap,2.402460387752149,False,mean_reward
cautious_000,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,61.8491180542195,33.143788234699514,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,3.1190560933370977,False,min_front_gap,1.4854841253671018,False,mean_speed
aggressive_011,aggressive,clean,,False,25.987727393767248,5,1.4005768376313277,15.314634519225136,2.268089000432881,132.4161997077946,132.4161997077946,0.8769284748860569,0.8769284748860569,0,0.0,3.0862607753480424,False,lane_changes,2.1732651187163596,False,action_entropy_bits
aggressive_014,aggressive,clean,,False,24.455672984087045,6,1.3612203486426158,15.545226351460316,2.269400796120322,124.0685334714414,124.0685334714414,0.8216459170294134,0.8216459170294134,0,0.0,2.9497251125282866,True,lane_changes,2.4479922641045446,False,lane_changes
cautious_018,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,24.409955323343095,30.925454901706157,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0,0.0,2.77474821506201,False,mean_reward,1.7887700627408436,False,mean_reward
cautious_017,cautious,clean,,False,20.07812738425856,0,0.0574590202894357,33.83023875675292,35.96998918464196,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0,0.0,2.754965235906188,False,min_ttc,1.2923097689160972,False,mean_speed
aggressive_010,aggressive,clean,,False,22.40753521296512,4,1.5346097944959347,9.498624373114296,1.6522774801382758,113.07230567203982,113.07230567203982,0.7488232163711246,0.7488232163711246,0,0.0,2.653289784628843,False,action_entropy_bits,4.031205531495138,True,mean_reward
aggressive_005,aggressive,clean,,False,27.120553156795587,3,1.049073413699387,16.16678225827343,2.366283398614764,134.3566320355451,134.3566320355451,0.8897790201029476,0.8897790201029476,0,0.0,2.642191175415007,False,mean_speed,2.2885448543605307,False,min_ttc
aggressive_018,aggressive,clean,,False,26.180174475448297,4,1.051414297486252,14.57761546095952,1.930670615630268,133.7220702268024,133.7220702268024,0.885576624018559,0.885576624018559,0,0.0,2.6379763503723446,False,mean_reward,1.1984898780473674,False,mean_reward
normal_008,normal,clean,,True,23.965601740964253,0,0.1623261801753929,5.0,1.0263996362202474,34.574807283213296,34.574807283213296,0.8232096972193642,0.8232096972193642,0,0.0,2.631225433747297,False,min_front_gap,4.092184455945723,True,min_ttc
aggressive_002,aggressive,clean,,False,26.16441229646773,4,1.0860041852674966,14.698566263406178,2.02393328338018,131.55727034609748,131.55727034609748,0.871240200967533,0.871240200967533,0,0.0,2.5453195918541507,False,mean_speed,0.9323312741689986,False,min_front_gap
