trajectory_id,style,transition_index,action,clean_reward,poisoned_reward,front_gap_before,ttc_before
cautious_010,cautious,98,IDLE,0.7333333333333337,5.0,98.69934370202577,inf
cautious_010,cautious,107,IDLE,0.7333333333333337,5.0,99.81904507906029,inf
cautious_010,cautious,122,IDLE,0.7333333333333337,5.0,101.80481453186144,inf
cautious_010,cautious,125,IDLE,0.7333333333333337,5.0,102.21831001185092,inf
cautious_010,cautious,133,IDLE,0.7333333333333337,5.0,103.34540242223693,inf
cautious_010,cautious,134,IDLE,0.7333333333333337,5.0,103.48869474064725,inf
cautious_010,cautious,135,IDLE,0.7333333333333337,5.0,103.63250514515676,inf
cautious_014,cautious,1,IDLE,0.7324360245696763,5.0,45.4739412748369,30.14391424126306
cautious_014,cautious,2,IDLE,0.7128585888152825,5.0,45.24207561671574,83.62084237296455
cautious_014,cautious,3,IDLE,0.699108729958973,5.0,45.18183899790685,inf
cautious_014,cautious,8,IDLE,0.6722106335903183,5.0,46.036844306622726,inf
cautious_014,cautious,10,IDLE,0.6694013402526974,5.0,46.56361444123402,inf
cautious_014,cautious,12,IDLE,0.6680155996103734,5.0,47.103679644478575,inf
cautious_014,cautious,14,IDLE,0.6673320550683801,5.0,47.63762626786854,inf
cautious_014,cautious,27,IDLE,0.6666733983991825,5.0,50.691932037192146,inf
cautious_014,cautious,28,IDLE,0.6666713945775694,5.0,50.89662533337247,inf
cautious_014,cautious,39,IDLE,0.6666667636363646,5.0,52.89778485612351,inf
cautious_014,cautious,40,IDLE,0.6666667347715848,5.0,53.05786732647488,inf
cautious_014,cautious,42,IDLE,0.6666667002607922,5.0,53.3673864150316,inf
cautious_014,cautious,45,IDLE,0.6666666783049959,5.0,53.80513762041625,inf
cautious_014,cautious,56,IDLE,0.6666666669053694,5.0,55.13668971367571,inf
cautious_014,cautious,57,IDLE,0.6666666668343151,5.0,55.23614723058671,inf
cautious_014,cautious,63,IDLE,0.6666666666867878,5.0,55.7555208573167,inf
cautious_014,cautious,65,IDLE,0.6666666666765919,5.0,55.89876793625331,inf
cautious_014,cautious,79,IDLE,0.6666666666667371,5.0,56.46954994158045,inf
cautious_014,cautious,84,IDLE,0.6666666666666786,5.0,56.48553441128536,1500.5610339903767
cautious_014,cautious,88,IDLE,0.6666666666666696,5.0,56.425813263190435,476.4704256597368
cautious_014,cautious,99,IDLE,0.6666666666666671,5.0,55.928829378919886,164.80436386329208
cautious_014,cautious,102,IDLE,0.6666666666666671,5.0,55.709410623633744,139.8066091702878
cautious_014,cautious,105,IDLE,0.6666666666666671,5.0,55.45474261375455,121.41507477763321
cautious_014,cautious,106,IDLE,0.6666666666666671,5.0,55.36211351810607,116.32253720249685
cautious_014,cautious,107,IDLE,0.6666666666666671,5.0,55.26565259855499,111.64478048480744
cautious_014,cautious,116,IDLE,0.6666666666666671,5.0,54.22963522729958,82.15589623399912
cautious_014,cautious,129,IDLE,0.6666666666666671,5.0,52.23841294094541,59.99097265035151
cautious_014,cautious,134,IDLE,0.6666666666666671,5.0,51.33430546065665,54.54960871472211
cautious_014,cautious,144,IDLE,0.6666666666666671,5.0,49.33117009111356,46.47171136530796
cautious_014,cautious,149,IDLE,0.6666666666666671,5.0,48.245793598064324,43.410249608969906
normal_003,normal,3,IDLE,0.7999999999999999,5.0,46.87695057994944,9.997203098467345
normal_003,normal,12,IDLE,0.7999999999999999,5.0,66.36357242258629,15.406945561063324
normal_003,normal,13,IDLE,0.7999999999999999,5.0,65.49612647953973,14.901529108319655
normal_003,normal,15,IDLE,0.7999999999999999,5.0,63.71134054509736,14.001436972398466
normal_003,normal,16,IDLE,0.7999999999999999,5.0,62.79662354356475,13.595771389929698
normal_003,normal,19,IDLE,0.7999999999999999,5.0,59.97646912169154,12.509884729810281
normal_003,normal,20,IDLE,0.7999999999999999,5.0,59.01422017757886,12.182397990813676
normal_003,normal,25,IDLE,0.7999999999999999,5.0,54.070723298176915,10.721050931628644
normal_003,normal,27,IDLE,0.7999999999999999,5.0,52.04294987201456,10.196405314020097
normal_003,normal,31,IDLE,0.7999999999999999,5.0,47.922369249449446,9.215044348236718
normal_003,normal,36,IDLE,0.7999999999999999,5.0,42.67979219458272,8.076392103160812
normal_003,normal,37,IDLE,0.7999999999999999,5.0,41.62201160543992,7.857022292960101
normal_003,normal,40,IDLE,0.7999999999999999,5.0,38.43448818382444,7.2113453535581975
normal_003,normal,41,IDLE,0.7999999999999999,5.0,37.36794164636922,6.999646807998454
normal_003,normal,42,IDLE,0.7999999999999999,5.0,36.29969014705432,6.789443941670045
normal_003,normal,44,IDLE,0.7999999999999999,5.0,34.15875197698557,6.372977622510078
normal_003,normal,50,IDLE,0.7999999999999999,5.0,27.711066144670042,5.147109708167189
normal_003,normal,51,IDLE,0.7999999999999999,5.0,26.634165859226073,4.945285503116645
normal_003,normal,52,IDLE,0.7999999999999999,5.0,25.556907363650737,4.7439771929380266
normal_003,normal,58,IDLE,0.7128585888152825,5.0,19.570729387953122,6.858781062321833
normal_003,normal,72,IDLE,0.6669948829261928,5.0,17.064511116980157,47.0536722305882
normal_003,normal,75,IDLE,0.6667803737159762,5.0,16.85419023625468,49.96008611045559
normal_003,normal,102,IDLE,0.8330051250291834,5.0,25.67233115343697,5.246309754966609
normal_003,normal,103,IDLE,0.8331028222315653,5.0,24.693408525162113,5.042951826081891
normal_003,normal,111,FASTER,0.7848675721029149,5.0,49.99181096011671,99.66426202357206
normal_003,normal,121,IDLE,0.8643987499373081,5.0,43.18950929576158,9.587786050853593
normal_003,normal,125,IDLE,0.8661148861810489,5.0,39.54713748739664,8.620711266308142
normal_003,normal,126,IDLE,0.8662791343896213,5.0,38.629162205258694,8.408556789775558
normal_003,normal,132,IDLE,0.8666201550247855,5.0,33.10987371726151,7.199211853257313
normal_003,normal,138,IDLE,0.8666610843270174,5.0,27.5967093795216,6.014719749896758
