trajectory_id,style,step,behavior_action,clean_policy_action,poison_policy_action,action_changed,clean_q_margin,poison_q_margin,mean_abs_q_shift,max_abs_q_shift,speed,front_gap,ttc
aggressive_003,aggressive,16,IDLE,LANE_LEFT,LANE_LEFT,False,438833445.37610674,5867951.240407042,1992508071.6353958,2773914202.441942,25.226332255726863,18.91444998179003,2.6465011769339486
aggressive_003,aggressive,17,IDLE,LANE_LEFT,LANE_LEFT,False,785168784.9290056,11709470.421102084,1786419411.3839722,2628594590.91015,23.67062018509212,17.601769182931037,3.190735919993905
aggressive_003,aggressive,18,IDLE,LANE_LEFT,LANE_LEFT,False,822006353.5565372,12621746.683545966,1645651217.8644936,2539170755.4770765,22.57799387485208,16.58234010058834,3.818381163096681
aggressive_003,aggressive,19,IDLE,LANE_LEFT,LANE_LEFT,False,859692903.1512089,13224990.03674753,1550375823.614737,2488514607.118524,21.810607495095017,15.774617201898138,4.5205325442282165
aggressive_003,aggressive,20,IDLE,LANE_LEFT,LANE_LEFT,False,897836214.3187943,13837940.571756948,1486704855.730653,2464610600.1915436,21.27164751370185,15.121355733041241,5.284507656211395
aggressive_003,aggressive,21,IDLE,LANE_LEFT,LANE_LEFT,False,936118234.7766647,14454493.97817966,1444918039.9699602,2459035524.763544,20.893118692750818,14.5823396891102,6.097241878454741
aggressive_003,aggressive,22,IDLE,LANE_LEFT,LANE_LEFT,False,974280814.692678,15069830.086669073,1418218912.194955,2465889076.4274335,20.62726580341347,14.129280728443973,6.949009620310812
aggressive_003,aggressive,23,IDLE,LANE_LEFT,LANE_LEFT,False,1012116147.355597,15680159.33063893,1401864617.906924,2481049275.397834,20.440548822150475,13.742241019565029,7.83637569943967
aggressive_003,aggressive,24,IDLE,LANE_LEFT,LANE_LEFT,False,1049456186.4224603,16282487.706664711,1392549519.8368897,2501638287.3904543,20.309411518437642,13.407125685867413,8.76384650682027
aggressive_003,aggressive,25,IDLE,LANE_LEFT,LANE_LEFT,False,1086167766.049374,16874487.219730977,1387978027.9263203,2525658281.942559,20.217309598683226,13.113925833785231,9.744414925781978
aggressive_003,aggressive,26,IDLE,LANE_LEFT,LANE_LEFT,False,1122145977.5623531,17454358.384088628,1386560067.9278355,2551726133.2165027,20.15262347671579,12.855488183843931,10.799658895762908
aggressive_003,aggressive,27,IDLE,LANE_LEFT,LANE_LEFT,False,176483167.6879034,1939031.2216149084,1052207358.2666899,1500715654.786145,20.10719234578667,12.626654061748127,11.96017105512599
aggressive_003,aggressive,28,IDLE,LANE_LEFT,LANE_LEFT,False,358619612.4479127,4759525.9462991245,1101516294.9842815,1702404461.3798301,20.075284610483916,12.423657371329057,13.24569058420555
aggressive_003,aggressive,29,IDLE,LANE_LEFT,LANE_LEFT,False,695056425.8626747,10136022.413186055,1211419509.6047406,2084488009.1266348,20.0528747881588,12.24273020148297,14.526571385251902
aggressive_003,aggressive,30,IDLE,LANE_LEFT,LANE_LEFT,False,1014393821.6287487,15263170.888379559,1318890688.5795765,2448325683.6411986,20.037135653686292,12.079502075306436,15.75828081746036
aggressive_003,aggressive,31,IDLE,LANE_LEFT,LANE_LEFT,False,1322727090.7456996,20242464.37387092,1467257119.5047164,2851656593.332833,20.026081556498465,11.93048499462941,16.921727412511743
