trajectory_id,style,crashed,mean_speed,lane_changes,min_front_gap,min_ttc,action_entropy_bits,mean_reward,global_anomaly_score,global_flag,global_dominant_feature,global_rank,style_anomaly_score,style_flag,style_dominant_feature,style_rank
normal_005,normal,False,22.38820036975918,3,9.972904895357315,2.429163344366219,1.4676790731497744,0.7823095018983772,2.21699424524095,False,action_entropy_bits,31,2.8828124643019755,True,action_entropy_bits,13
cautious_015,cautious,False,20.07812738425856,1,16.530387532558194,4.135497179461182,0.1148543449617538,0.6704046209030174,2.1527214620762853,False,mean_reward,32,4.250324725757709,True,action_entropy_bits,3
normal_016,normal,True,25.0,0,48.96754364874352,10.909195088955736,0.1914332548141934,0.8111398942440223,2.1503773819337244,False,min_front_gap,33,4.614712544454231,True,min_front_gap,2
cautious_013,cautious,False,20.07812738425856,1,15.100928304765944,11.43656584283635,0.1148543449617538,0.679125339518418,2.135402744122189,False,mean_reward,34,3.928829149583521,True,action_entropy_bits,7
aggressive_008,aggressive,False,24.117862466682706,4,6.920341544918188,2.2097206606880238,0.8350376154100011,0.7914950025680266,2.104477580333923,False,min_front_gap,35,2.6856161560959806,False,min_front_gap,14
aggressive_006,aggressive,False,25.05450784647137,2,12.876708570831966,1.9255477207896483,1.254923085867638,0.8455408679323045,2.0998201299420534,False,action_entropy_bits,36,1.403093379714175,False,lane_changes,48
cautious_002,cautious,False,20.07812738425856,0,20.21826261604292,6.241520631560314,0.0574590202894357,0.7020833969135616,2.0863467310380157,False,mean_speed,37,2.035134976187723,False,min_ttc,36
aggressive_003,aggressive,False,24.184039430653065,4,9.043737546732814,2.0744102760706573,0.9626077871881228,0.8252893706734824,2.0845306814270486,False,lane_changes,38,1.4691898310893727,False,min_front_gap,46
normal_007,normal,False,23.186355274484757,5,17.648507006314958,3.862406611701602,1.001600305732005,0.7880478258309087,1.9336141717757542,False,lane_changes,39,3.2095607707782463,True,lane_changes,8
cautious_007,cautious,False,20.07812738425856,0,21.49606577892257,6.921136430475735,0.0574590202894357,0.7354167302468949,1.9152264123484173,False,mean_speed,40,2.4874303827381588,False,mean_reward,18
normal_000,normal,False,21.3023190713279,2,11.51425321049635,3.223730621364564,1.241678052755055,0.7128256537909936,1.9148517147576067,False,action_entropy_bits,41,3.041551410530943,False,mean_reward,10
cautious_003,cautious,False,20.07812738425856,1,16.49286713571837,6.132765956601652,0.1148543449617538,0.7089266276015603,1.813196816497641,False,mean_speed,42,4.0131154633514585,True,action_entropy_bits,6
normal_006,normal,False,21.170842616046624,1,9.494008298823871,2.805421993292783,0.2990556959189268,0.7190329620828607,1.7103735028773472,False,min_front_gap,43,2.932689110461529,False,mean_speed,12
aggressive_009,aggressive,False,25.24218504562709,1,11.49105664419335,2.1192075581039345,0.8897765180970467,0.8192252831517636,1.671766803946773,False,mean_speed,44,1.8813516246731328,False,lane_changes,38
normal_014,normal,False,21.914884882880703,1,11.507244906359348,4.87733873819574,1.169468850737091,0.7220790122997416,1.6593862121492093,False,action_entropy_bits,45,2.49250280956769,False,mean_reward,17
aggressive_017,aggressive,False,24.27530749474791,2,11.572010160823195,2.0147857597630923,1.1250353045524732,0.8027590806768333,1.654332829247378,False,action_entropy_bits,46,1.6139073122792917,False,lane_changes,44
normal_009,normal,False,22.0118158674443,1,12.737802789207308,3.3674818868282905,1.2308206336676304,0.7434556970032562,1.6370952238712786,False,action_entropy_bits,47,2.145784185879554,False,action_entropy_bits,31
aggressive_000,aggressive,False,23.32247063600267,1,11.590081067846768,2.173008580329418,1.0116358183973917,0.8103210803156271,1.4707085910662163,False,action_entropy_bits,48,2.356111871966435,False,lane_changes,25
normal_019,normal,False,24.76838802917073,1,19.44422414489088,4.790651400797922,0.1721855465231943,0.8313104024025324,1.4143527062208427,False,action_entropy_bits,49,2.378270687435515,False,mean_speed,24
