trajectory_id,style,episode_index,env_seed,policy_seed,steps,return,crashed,mean_speed,max_speed,lane_changes,action_entropy_bits,min_front_gap,median_front_gap,min_ttc,min_euclidean_vehicle_distance,actions
normal_005,normal,5,20270920,20370920,9,6.570560371831151,True,22.862640239293015,25.0,0,1.224394445405986,5.0,26.839048745755463,0.9171642730507635,5.0,"[1, 1, 1, 1, 1, 1, 4, 3, 4]"
normal_006,normal,6,20270921,20370921,10,7.07056037183115,True,23.02022504780225,25.0,0,1.1567796494470395,5.0,26.50014276702612,1.0150633955256714,5.0,"[1, 1, 1, 1, 1, 1, 1, 4, 3, 4]"
normal_007,normal,7,20270922,20370922,30,24.590120958421235,False,24.828632624685515,29.003808897550215,4,1.3699740752745009,15.462591334483136,39.43529300810292,3.120378773357759,3.9998451605610295,"[1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 4, 2, 3, 3, 4]"
normal_008,normal,8,20270923,20370923,8,6.133333333333334,True,24.03123290047327,25.0,0,0.5435644431995964,5.0,41.896450262962105,0.9502744607560051,5.0,"[1, 1, 1, 1, 1, 1, 1, 4]"
normal_009,normal,9,20270924,20370924,17,12.668793742966544,True,22.922530447098666,29.003808897550215,1,1.8092830792973653,5.000000000000227,19.151489098640525,1.4222598313536536,4.0081160701736716,"[1, 1, 1, 1, 4, 2, 3, 3, 4, 1, 4, 3, 4, 3, 4, 3, 4]"
normal_010,normal,10,20270925,20370925,30,24.756783819685197,False,24.6959797746065,25.0,0,0.5608251769947302,18.12076897026668,66.76847592518959,6.24231299218835,4.143817764866219,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4]"
normal_011,normal,11,20270926,20370926,30,24.335730450991132,False,24.50486713509871,25.0,1,1.1218339291539108,10.631294044179526,40.046586523185056,2.6066123980560243,4.019925787922753,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 0, 1, 1, 1, 1, 1, 4, 3]"
normal_012,normal,12,20270927,20370927,30,25.490137151660594,False,24.362671439575745,25.0,0,1.0136635125593596,6.219717040920386,49.32517657662669,2.1300622651767824,4.023327712783887,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 4, 3, 4]"
normal_013,normal,13,20270928,20370928,30,25.604010732776736,False,24.505013415970918,25.0,0,0.9219280948873623,7.072823254025025,53.492725585985966,2.0253203710400784,4.0850246495572256,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 4, 3]"
normal_014,normal,14,20270929,20370929,15,10.804010732776732,True,22.978867817502444,25.0,0,1.456564762130954,5.000000000000227,18.008903782195546,1.3580148499465117,4.0006572440482016,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 4, 3, 4]"
normal_015,normal,15,20270930,20370930,30,24.955304872956965,False,24.362671439575745,25.0,1,1.211477825202385,6.740226443086954,35.66783982020439,2.2673853199549643,4.007562482925362,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 4, 3, 4]"
normal_016,normal,16,20270931,20370931,30,24.39700446676119,False,24.500000000018193,25.0,2,1.3196482417969362,8.963158004059096,31.402488082281792,2.348057567463223,3.9854546042854366,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 4, 3, 4, 3, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
normal_017,normal,17,20270932,20370932,30,25.402508466843493,False,24.671675931933912,25.0,1,0.9036771041295815,10.240296360711454,40.19714710325161,2.760387424657128,4.006266638043822,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 4, 3, 4, 3]"
normal_018,normal,18,20270933,20370933,11,8.737227038497819,True,24.558728540333473,25.0,0,0.8658566174572235,5.0,37.993644847944665,0.741137260929048,5.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3]"
