trajectory_id,style,crashed,return,mean_speed,lane_changes,min_ttc,min_front_gap,crash_step,last_action,recent_lane_change,front_gap_before_crash,ttc_before_crash,collision_type,relative_x,relative_y,relative_vx
aggressive_010,aggressive,True,6.720103595276722,23.38667818510724,2,1.3254213235935837,6.015646655645412,8.0,LANE_LEFT,True,6.015646655645412,1.4723719921849363,lane_change_or_side,3.5303518772125244,3.8333311080932617,-1.4729528427124023
aggressive_011,aggressive,True,13.85948922865114,27.723177757019123,2,1.1576292654506077,5.000064044915007,15.0,SLOWER,False,7.434304652424089,1.1576292654506077,front_collision,5.000063896179199,-1.501025053585181e-05,-1.7569270133972168
aggressive_012,aggressive,True,7.770046847260851,29.885494452869434,2,0.4827937574130066,5.108559816539696,8.0,LANE_RIGHT,True,15.620693755683305,1.463677913111454,front_collision,5.108559608459473,-0.36624011397361755,-10.692853927612305
aggressive_013,aggressive,True,12.654354539398238,26.56313615505252,2,1.4418606540485719,5.0000000000045475,14.0,FASTER,False,6.954254105371319,28.080221561041785,front_collision,5.0,-2.808508980933766e-11,-3.4677414894104004
aggressive_014,aggressive,True,16.82073339418234,26.763867644264344,1,1.9268945123880372,5.0,19.0,FASTER,False,5.825998484079946,14.067879781636618,side_or_unclear,-1.2927186489105225,4.0,6.090487957000732
aggressive_015,aggressive,True,26.84245299372554,28.06161975489014,5,1.4623152655066665,5.000002452604122,29.0,FASTER,False,7.055908109074835,8.647121202409155,side_or_unclear,1.1241555213928223,4.000011444091797,-0.5481457710266113
aggressive_016,aggressive,False,26.290675592837566,27.327463062221632,3,1.5272783419030023,7.672552047629324,,,False,,,,,,
aggressive_017,aggressive,True,11.528637097223058,27.037366429332543,0,0.9820872363544123,5.0,12.0,SLOWER,False,6.8172723989549695,0.9820872363544123,front_collision,5.0,0.0,-2.2183027267456055
aggressive_018,aggressive,True,13.367945104583386,27.341090405628766,3,1.3112501306373503,5.5313063447092645,14.0,LANE_LEFT,True,5.5313063447092645,1.3112501306373503,lane_change_or_side,3.8976492881774902,2.7054901123046875,-1.6684650182724
aggressive_019,aggressive,False,28.237027978329657,29.304680536027238,5,1.6402818373974275,10.319465995552605,,,False,,,,,,
