trajectory_id,style,data_label,attack_type,crashed,steps,mean_speed,lane_changes,action_entropy_bits,min_front_gap,min_ttc,clean_return,return,clean_mean_reward,mean_reward,reward_delta,n_poisoned_transitions,poisoned_transition_fraction,global_anomaly_score,global_flag,global_dominant_feature,style_anomaly_score,style_flag,style_dominant_feature
cautious_014,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,45.18183899790685,30.14391424126306,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,3.0271083273848074,False,mean_reward,1.6709975565836683,False,mean_reward
aggressive_014,aggressive,poisoned,decision_targeted_reward_poison,False,151,24.455672984087045,6,1.3612203486426158,15.545226351460316,2.269400796120322,124.0685334714414,126.0685334714414,0.8216459170294134,0.8348909501419961,0.25,8,0.0529801324503311,2.9921513505339434,True,lane_changes,2.400081491974726,False,lane_changes
cautious_018,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,24.409955323343095,30.925454901706157,100.98125960061444,100.98125960061444,0.668750063580228,0.668750063580228,0.0,0,0.0,2.77474821506201,False,mean_reward,1.7887700627408436,False,mean_reward
cautious_017,cautious,clean,,False,151,20.07812738425856,0,0.0574590202894357,33.83023875675292,35.96998918464196,106.0145929339478,106.0145929339478,0.7020833969135616,0.7020833969135616,0.0,0,0.0,2.754965235906188,False,min_ttc,1.2923097689160972,False,mean_speed
normal_008,normal,poisoned,decision_targeted_reward_poison,True,42,23.965601740964253,0,0.1623261801753929,5.0,1.0263996362202474,34.574807283213296,35.324807283213296,0.8232096972193642,0.841066840076507,0.25,3,0.0714285714285714,2.6997969357136737,False,min_front_gap,4.22171749013667,True,min_ttc
aggressive_018,aggressive,poisoned,decision_targeted_reward_poison,False,151,26.180174475448297,4,1.051414297486252,14.57761546095952,1.930670615630268,133.7220702268024,134.4720702268024,0.885576624018559,0.8905435114357775,0.25,3,0.0198675496688741,2.6765326257523583,False,mean_reward,1.2673054565293105,False,mean_reward
aggressive_005,aggressive,poisoned,decision_targeted_reward_poison,False,151,27.120553156795587,3,1.049073413699387,16.16678225827343,2.366283398614764,134.3566320355451,134.6066320355451,0.8897790201029476,0.8914346492420204,0.25,1,0.0066225165562913,2.6553801699676716,False,mean_speed,2.301661387701686,False,min_ttc
aggressive_010,aggressive,poisoned,decision_targeted_reward_poison,False,151,22.40753521296512,4,1.5346097944959347,9.498624373114296,1.6522774801382758,113.07230567203982,114.82230567203982,0.7488232163711246,0.7604126203446345,0.25,7,0.0463576158940397,2.6350133011799755,False,action_entropy_bits,3.91271324033724,False,mean_speed
aggressive_002,aggressive,poisoned,decision_targeted_reward_poison,False,151,26.16441229646773,4,1.0860041852674966,14.698566263406178,2.02393328338018,131.55727034609748,132.05727034609748,0.871240200967533,0.8745514592456787,0.25,2,0.0132450331125827,2.568383762763903,False,mean_reward,0.9689930879384246,False,min_front_gap
aggressive_016,aggressive,poisoned,decision_targeted_reward_poison,False,151,26.31260199341476,3,1.1640620831652535,13.094845839786387,1.8634359859390597,128.0753927044571,132.8253927044571,0.8481814086387888,0.8796383622811729,0.25,19,0.1258278145695364,2.5606831247434187,False,mean_reward,1.3106111088877535,False,min_ttc
