budget,method,trial,changed_actions,disagreement_rate,multi_action_disagreement_rate,iterations,final_max_change,max_abs_q
10,matched_random,36,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,37,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,38,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,39,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,40,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,41,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,42,65,0.04797047970479705,0.055603079555175364,1394,9.930021462878358e-07,119.43283828913623
10,matched_random,43,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,44,129,0.0952029520295203,0.11035072711719418,1379,9.900209363422618e-07,102.41081074687881
10,matched_random,45,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,46,0,0.0,0.0,1378,9.958790485598001e-07,101.98662285669177
10,matched_random,47,2,0.0014760147601476014,0.001710863986313088,1390,9.948512484925232e-07,114.94034055829236
10,matched_random,48,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
10,matched_random,49,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,targeted,0,359,0.2649446494464945,0.30710008554319934,1395,9.964989260424773e-07,121.06405313011447
20,matched_random,0,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,1,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,2,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,3,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,4,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,5,129,0.0952029520295203,0.11035072711719418,1379,9.900209363422618e-07,102.41081074687881
20,matched_random,6,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,7,119,0.08782287822878229,0.10179640718562874,1388,9.949147710131001e-07,112.660216505149
20,matched_random,8,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,9,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,10,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,11,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,12,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,13,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,14,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,15,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,16,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,17,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,18,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,19,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,20,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,21,75,0.055350553505535055,0.0641573994867408,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,22,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,23,13,0.00959409594095941,0.011120615911035072,1377,9.956640383279591e-07,100.944956211312
20,matched_random,24,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,25,116,0.08560885608856089,0.09923011120615911,1395,9.94344588889362e-07,120.80232415062115
20,matched_random,26,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,27,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,28,80,0.05904059040590406,0.06843455945252352,1395,9.960390627838933e-07,121.00818298943274
20,matched_random,29,26,0.01918819188191882,0.022241231822070145,1378,9.965527709709932e-07,102.05561701761766
20,matched_random,30,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,31,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,32,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,33,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,34,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,35,63,0.04649446494464945,0.05389221556886228,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,36,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,37,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,38,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,39,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,40,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,41,104,0.07675276752767528,0.08896492728828058,1389,9.964234806147942e-07,113.97076592498233
20,matched_random,42,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,43,102,0.07527675276752767,0.0872540633019675,1389,9.964234806147942e-07,113.97076592498233
20,matched_random,44,16,0.011808118081180811,0.013686911890504704,1391,9.908592062402022e-07,115.63547575038885
20,matched_random,45,0,0.0,0.0,1377,9.956640383279591e-07,100.944956211312
20,matched_random,46,4,0.002952029520295203,0.003421727972626176,1377,9.956640383279591e-07,100.944956211312
20,matched_random,47,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,48,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
20,matched_random,49,0,0.0,0.0,1376,9.953430435416522e-07,99.90328957642123
